order_id,customer_id,region,order_amount,order_ts
NT-000301,C120,US-East,70.43,2026-03-03 07:42:07
NT-000302,C164,US-East,28.1,2026-03-07 15:44:07
NT-000303,C192,US-East,57.98,2026-03-03 21:09:29
NT-000304,C175,EU-West,56.06,2026-03-05 12:48:15
NT-000305,C029,EU-West,235.43,2026-03-04 08:58:36
NT-000306,C134,APAC,26.69,2026-03-03 10:10:20
NT-000307,C131,APAC,168.01,2026-03-06 21:05:57
NT-000308,C015,APAC,146.23,2026-03-06 19:29:36
NT-000309,C001,EU-North,12.12,2026-03-02 18:16:52
NT-000310,C018,APAC,45.21,2026-03-04 08:34:03
NT-000311,C187,APAC,89.11,2026-03-08 10:49:41
NT-000312,C175,EU-North,152.17,2026-03-05 18:24:05
NT-000313,C187,EU-North,213.43,2026-03-03 18:33:08
NT-000314,C140,APAC,82.93,2026-03-04 20:43:46
NT-000315,C071,EU-North,648.76,2026-03-03 20:22:09
NT-000316,C108,EU-West,14.12,2026-03-02 07:51:42
NT-000317,C173,EU-West,12.03,2026-03-06 07:28:38
NT-000318,C194,EU-West,98.41,2026-03-05 13:34:13
NT-000319,C198,US-East,87.74,2026-03-03 16:36:38
NT-000320,C077,US-East,94.32,2026-03-07 22:14:26
NT-000321,C110,APAC,39.34,2026-03-07 11:40:43
NT-000322,C082,APAC,35.29,2026-03-07 18:50:33
NT-000323,C058,US-East,121.65,2026-03-03 21:15:54
NT-000324,C107,EU-North,31.2,2026-03-05 07:35:26
NT-000325,C095,EU-West,83.48,2026-03-04 08:59:28
NT-000326,C155,EU-West,128.22,2026-03-02 14:24:43
NT-000327,C086,US-East,258.43,2026-03-08 12:30:13
NT-000328,C123,EU-North,205.57,2026-03-03 09:47:48
NT-000329,C199,US-East,56.56,2026-03-05 13:35:20
NT-000330,C132,APAC,81.06,2026-03-04 15:16:23
NT-000331,C082,EU-North,45.67,2026-03-07 21:48:53
NT-000332,C005,US-East,61.15,2026-03-06 13:47:09
NT-000333,C051,US-East,59.85,2026-03-07 19:18:09
NT-000334,C176,US-East,82.76,2026-03-03 21:35:41
NT-000335,C188,US-East,73.55,2026-03-07 21:29:10
NT-000336,C139,EU-West,84.36,2026-03-05 11:58:56
NT-000337,C106,EU-North,134.72,2026-03-02 07:48:00
NT-000338,C130,APAC,64.22,2026-03-07 10:00:13
NT-000339,C005,EU-West,45.43,2026-03-07 21:42:31
NT-000340,C138,US-East,82.0,2026-03-02 22:46:17
NT-000341,C046,EU-West,178.66,2026-03-07 19:51:58
NT-000342,C065,US-East,44.12,2026-03-03 12:39:33
NT-000343,C063,EU-North,83.35,2026-03-04 18:29:36
NT-000344,C098,APAC,13.11,2026-03-02 07:05:25
NT-000345,C112,US-East,86.07,2026-03-02 11:05:31
NT-000346,C059,EU-North,203.84,2026-03-02 22:58:02
NT-000347,C020,US-East,184.53,2026-03-06 21:17:02
NT-000348,C081,EU-West,572.87,2026-03-02 11:59:54
NT-000349,C077,EU-North,59.57,2026-03-08 18:59:04
NT-000350,C139,US-East,75.32,2026-03-08 18:43:57
NT-000351,C089,EU-West,29.13,2026-03-08 08:32:47
NT-000352,C158,APAC,429.51,2026-03-02 16:38:49
NT-000353,C126,EU-North,93.64,2026-03-07 14:50:28
NT-000354,C170,APAC,64.29,2026-03-05 11:43:37
NT-000355,C022,US-East,72.76,2026-03-08 13:45:04
NT-000356,C082,US-East,8.47,2026-03-07 10:47:24
NT-000357,C070,EU-West,25.05,2026-03-04 20:23:48
NT-000358,C007,EU-West,16.47,2026-03-05 22:26:06
