order_id,customer_id,amount,order_ts
NT-000551,C024,127.43,2026-03-06 14:56:46
NT-000552,C099,197.33,2026-03-05 18:29:17
NT-000553,C179,714.39,2026-03-08 11:07:08
NT-000554,C124,42.56,2026-03-02 19:58:37
NT-000555,C187,52.42,2026-03-04 06:55:43
NT-000556,C067,87.02,2026-03-05 20:02:04
NT-000557,C087,74.13,2026-03-06 13:42:55
NT-000558,C165,83.21,2026-03-05 17:42:43
NT-000559,C041,230.41,2026-03-06 07:00:41
NT-000560,C085,28.27,2026-03-02 21:20:15
NT-000561,C061,80.91,2026-03-07 18:25:52
NT-000562,C115,53.26,2026-03-05 08:54:31
NT-000563,C106,8.02,2026-03-07 06:06:25
NT-000564,C144,168.43,2026-03-02 15:56:32
NT-000565,C058,77.83,2026-03-04 17:52:03
NT-000566,C094,77.1,2026-03-06 21:45:42
NT-000567,C163,42.02,2026-03-03 06:21:22
NT-000568,C127,211.38,2026-03-02 07:57:10
NT-000569,C051,85.55,2026-03-05 09:16:39
NT-000570,C049,45.72,2026-03-03 20:52:50
NT-000571,C116,243.43,2026-03-07 09:49:57
NT-000572,C189,47.39,2026-03-03 21:00:33
NT-000573,C200,126.05,2026-03-06 21:59:32
NT-000574,C169,43.0,2026-03-08 10:06:24
NT-000575,C088,20.14,2026-03-06 13:17:25
NT-000576,C180,240.33,2026-03-05 22:19:53
NT-000577,C160,238.18,2026-03-07 12:12:13
NT-000578,C178,214.12,2026-03-03 11:32:34
NT-000579,C171,234.08,2026-03-06 21:37:36
NT-000580,C109,10.3,2026-03-06 15:56:54
NT-000581,C052,124.14,2026-03-03 07:42:03
NT-000582,C016,57.25,2026-03-04 14:09:53
NT-000583,C173,184.19,2026-03-04 20:06:39
NT-000584,C179,107.05,2026-03-03 22:50:50
NT-000585,C176,279.59,2026-03-05 18:26:50
NT-000586,C200,236.72,2026-03-07 14:12:39
NT-000587,C140,244.64,2026-03-07 17:48:37
NT-000588,C020,654.29,2026-03-04 20:11:43
NT-000589,C072,61.14,2026-03-02 18:02:27
NT-000590,C182,92.51,2026-03-04 06:21:29
NT-000591,C161,60.11,2026-03-06 07:49:59
NT-000592,C082,536.33,2026-03-04 08:50:45
NT-000593,C140,28.13,2026-03-08 22:10:26
NT-000594,C076,590.05,2026-03-03 16:21:23
NT-000595,C089,66.45,2026-03-05 06:07:42
NT-000596,C083,241.75,2026-03-06 13:02:43
NT-000597,C073,223.32,2026-03-05 14:34:46
NT-000598,C115,89.74,2026-03-04 22:51:32
NT-000599,C025,675.33,2026-03-03 16:32:05
NT-000600,C054,163.63,2026-03-06 06:40:04
