order_id,customer_id,region,amount,order_ts
NT-000001,C071,EU-North,75.02,2026-03-07 09:01:47
NT-000002,C009,EU-West,29.17,2026-03-07 08:37:27
NT-000003,C184,APAC,61.62,2026-03-06 06:35:12
NT-000004,C041,APAC,22.15,2026-03-08 06:48:51
NT-000005,C098,EU-West,39.3,2026-03-08 16:06:05
NT-000006,C138,EU-West,458.19,2026-03-04 07:46:29
NT-000007,C159,US-East,72.12,2026-03-06 15:53:40
NT-000008,C021,EU-North,157.02,2026-03-02 13:49:18
NT-000009,C091,EU-North,205.27,2026-03-05 17:10:23
NT-000010,C044,EU-North,42.53,2026-03-07 08:38:40
NT-000011,C197,EU-West,10.92,2026-03-07 13:43:20
NT-000012,C055,US-East,53.43,2026-03-04 18:17:04
NT-000013,C036,EU-North,180.85,2026-03-07 20:09:16
NT-000014,C103,US-East,98.78,2026-03-07 19:57:37
NT-000015,C013,EU-West,22.56,2026-03-06 21:05:48
NT-000016,C099,APAC,50.59,2026-03-07 19:38:04
NT-000017,C030,US-East,151.03,2026-03-04 06:43:46
NT-000018,C001,US-East,669.08,2026-03-04 19:10:29
NT-000019,C077,EU-North,77.39,2026-03-06 09:55:40
NT-000020,C154,US-East,18.18,2026-03-06 22:58:00
NT-000021,C062,EU-West,52.23,2026-03-04 15:15:03
NT-000022,C122,EU-North,87.39,2026-03-02 10:08:42
NT-000023,C194,EU-North,159.85,2026-03-05 12:59:34
NT-000024,C133,APAC,28.45,2026-03-07 17:28:57
NT-000025,C059,EU-North,72.41,2026-03-04 06:37:35
NT-000026,C009,US-East,29.66,2026-03-02 13:04:57
NT-000027,C034,APAC,51.04,2026-03-07 21:13:34
NT-000028,C169,APAC,45.41,2026-03-05 12:06:06
NT-000029,C166,EU-West,74.27,2026-03-08 07:43:41
NT-000030,C049,APAC,24.7,2026-03-08 09:15:12
NT-000031,C020,APAC,228.4,2026-03-05 13:55:59
NT-000032,C004,EU-West,227.3,2026-03-02 07:41:34
NT-000033,C055,APAC,124.7,2026-03-03 19:31:30
NT-000034,C117,US-East,95.12,2026-03-02 18:16:59
NT-000035,C076,EU-North,568.55,2026-03-08 21:09:12
NT-000036,C015,EU-West,53.76,2026-03-06 07:47:20
NT-000037,C131,EU-West,110.28,2026-03-08 22:10:03
NT-000038,C146,EU-North,11.62,2026-03-02 13:25:07
NT-000039,C145,US-East,362.34,2026-03-02 19:42:37
NT-000040,C102,EU-North,145.0,2026-03-07 16:15:16
NT-000041,C160,EU-West,27.4,2026-03-04 08:00:29
NT-000042,C018,EU-North,22.35,2026-03-04 10:59:22
NT-000043,C168,EU-West,183.19,2026-03-08 15:39:51
NT-000044,C068,EU-West,211.36,2026-03-07 09:56:08
NT-000045,C054,US-East,65.72,2026-03-03 14:18:38
NT-000046,C014,EU-West,224.4,2026-03-04 22:31:16
NT-000047,C034,US-East,48.21,2026-03-02 06:21:49
NT-000048,C029,EU-West,630.06,2026-03-07 19:35:00
NT-000049,C150,EU-North,11.81,2026-03-03 07:53:23
NT-000050,C054,EU-North,153.05,2026-03-04 07:57:22
NT-000051,C040,EU-North,246.43,2026-03-06 19:39:47
NT-000052,C007,EU-North,149.83,2026-03-08 11:56:26
NT-000053,C180,EU-West,11.52,2026-03-05 13:17:10
NT-000054,C118,US-East,80.38,2026-03-05 13:12:52
NT-000055,C050,APAC,86.66,2026-03-03 13:01:42
NT-000056,C131,APAC,226.55,2026-03-08 14:22:41
NT-000057,C067,EU-North,97.5,2026-03-04 06:07:56
NT-000058,C089,US-East,97.57,2026-03-02 09:38:27
NT-000059,C049,US-East,47.68,2026-03-02 18:57:36
NT-000060,C018,US-East,199.51,2026-03-06 12:23:27
NT-000061,C171,APAC,71.45,2026-03-02 15:32:19
NT-000062,C171,APAC,235.42,2026-03-06 10:12:26
NT-000063,C001,US-East,47.12,2026-03-06 15:25:35
NT-000064,C114,EU-North,80.23,2026-03-06 16:29:28
NT-000065,C073,US-East,94.63,2026-03-08 11:42:05
NT-000066,C051,EU-North,30.28,2026-03-03 15:14:51
NT-000067,C162,EU-North,157.6,2026-03-05 08:29:26
NT-000068,C177,EU-West,229.07,2026-03-05 13:09:41
NT-000069,C179,APAC,30.68,2026-03-02 19:14:11
NT-000070,C119,US-East,740.28,2026-03-08 09:29:08
NT-000071,C141,APAC,211.55,2026-03-06 22:27:53
NT-000072,C064,US-East,178.19,2026-03-05 20:16:48
NT-000073,C020,US-East,38.56,2026-03-07 13:17:28
NT-000074,C060,APAC,205.96,2026-03-06 08:08:09
NT-000075,C139,APAC,26.82,2026-03-02 19:26:21
NT-000076,C150,EU-West,214.84,2026-03-05 18:57:49
NT-000077,C077,APAC,243.01,2026-03-05 21:00:22
NT-000078,C070,APAC,43.39,2026-03-05 13:31:14
NT-000079,C120,EU-North,543.77,2026-03-07 18:46:10
NT-000080,C110,EU-North,127.26,2026-03-05 06:05:41
NT-000081,C117,US-East,88.05,2026-03-04 18:20:13
NT-000082,C021,APAC,57.09,2026-03-04 19:16:53
NT-000083,C200,EU-West,242.44,2026-03-04 13:41:04
NT-000084,C062,EU-North,18.41,2026-03-03 06:39:09
NT-000085,C197,US-East,63.26,2026-03-03 20:44:16
NT-000086,C042,US-East,10.34,2026-03-07 09:49:52
NT-000087,C051,EU-West,83.58,2026-03-04 18:25:45
NT-000088,C078,EU-West,184.89,2026-03-03 09:44:49
NT-000089,C170,US-East,66.93,2026-03-02 17:34:27
NT-000090,C028,APAC,599.57,2026-03-02 19:52:31
NT-000091,C112,EU-North,244.82,2026-03-08 20:45:09
NT-000092,C188,US-East,30.34,2026-03-04 21:29:27
NT-000093,C063,APAC,68.81,2026-03-02 14:56:28
NT-000094,C084,EU-North,40.29,2026-03-04 06:31:54
NT-000095,C153,US-East,55.01,2026-03-04 16:17:56
NT-000096,C105,APAC,29.87,2026-03-03 08:15:46
NT-000097,C005,EU-West,44.8,2026-03-05 21:28:50
NT-000098,C095,APAC,39.28,2026-03-03 15:42:37
NT-000099,C117,US-East,28.98,2026-03-07 16:22:44
NT-000100,C191,EU-North,75.21,2026-03-07 12:20:07
NT-000101,C026,EU-North,40.84,2026-03-04 22:38:18
NT-000102,C033,US-East,12.96,2026-03-04 06:45:34
NT-000103,C193,APAC,9.12,2026-03-04 10:40:55
NT-000104,C088,EU-North,388.86,2026-03-04 21:30:28
NT-000105,C017,APAC,60.51,2026-03-08 21:07:52
NT-000106,C145,US-East,30.59,2026-03-07 07:09:09
NT-000107,C159,EU-North,157.06,2026-03-06 19:38:38
NT-000108,C110,US-East,13.48,2026-03-05 15:55:37
NT-000109,C161,EU-North,15.39,2026-03-07 09:48:13
NT-000110,C041,EU-West,70.73,2026-03-03 11:35:04
NT-000111,C074,US-East,168.1,2026-03-05 15:02:14
NT-000112,C161,EU-North,57.56,2026-03-07 13:59:16
NT-000113,C037,EU-West,80.13,2026-03-07 10:58:17
NT-000114,C120,US-East,241.4,2026-03-06 15:28:07
